#{"t_start": 1768914618.9225135, "env_id": "LunarLander-v3"}
r,l,t,impact_vel
-109.622836,88,384.140654,0.9276368
-68.026708,75,384.676942,0.53105253
-30.87548,83,384.764408,0.5005882
-9.375063,81,384.8479,0.52816594
-20.224192,103,385.41082,0.4061169
-10.561591,91,385.49974,0.43302113
-60.510645,75,386.031187,0.67141587
-46.383329,67,386.098264,0.004807231
-36.798536,76,386.173368,0.57467115
-106.610762,91,386.728761,0.021156687
-17.489445,88,386.820031,0.3842161
-47.039823,115,387.404811,0.59606326
-60.629207,72,387.478795,0.61733186
-9.54924,117,388.435227,0.4045835
-33.476373,113,388.763572,0.4777319
10.227219,129,389.754737,0.4074157
-28.30398,111,390.775872,0.0871915
9.246416,105,391.154791,0.059646886
2.018412,100,392.09375,0.31513378
17.327702,120,392.474247,2.8906628e-09
-40.406994,113,393.526219,0.40159747
-55.703838,118,393.921256,0.5083438
-22.505777,122,394.926299,1.4409608e-08
26.842485,135,395.937182,0.011756402
-38.379666,159,396.431056,0.0012797537
-2.171981,160,397.675536,0.05882546
8.484049,165,398.928817,0.09344271
-12.852095,140,400.070002,5.3898552e-09
-9.86862,153,401.189081,0.29991522
-1.43654,149,401.697042,0.17494534
-37.543649,115,402.693071,0.42302695
27.831107,137,403.738728,0.0031900122
-4.284687,162,404.228349,0.1440972
-57.890758,109,405.113481,0.024932805
10.560409,151,406.280753,0.16047075
-28.086731,127,406.787535,0.20025474
-46.150949,119,407.867758,0.021016475
-11.625817,146,409.133168,4.892275e-05
-36.741341,108,409.507838,0.43279976
210.061202,285,411.609745,0.0
-33.320187,142,412.045089,0.06963969
-69.822331,134,413.056505,0.15522838
-63.05081,211,414.45076,0.11897547
13.464067,180,415.523872,0.08692458
195.443249,430,418.578776,0.0
-4.159217,162,419.833118,0.060665432
-25.124743,217,421.176059,0.12476867
187.595835,515,425.004323,0.0
-72.241221,172,425.548095,0.1475512
-48.666667,141,426.707534,0.0104153
-70.123553,213,428.084894,0.07641916
-81.458148,376,431.487005,0.024651019
-90.714653,157,433.259797,0.18216524
-61.224511,223,435.158374,0.09635054
-101.683165,133,436.795148,0.3682002
-48.211693,328,438.606617,0.05581749
135.876764,685,443.893129,0.0
122.484498,791,448.666898,0.0
-45.242138,124,449.110873,0.05784065
201.238882,297,451.08805,0.0
172.768012,238,452.538328,0.0
-112.149139,215,453.849723,0.14287333
-340.925447,646,457.818238,0.04342506
-620.934158,70,458.598011,1.2285637
-194.429811,900,463.6327,0.031922475
-56.331189,1000,469.824402,0.005172537
-57.832056,127,470.900951,0.093782954
-135.029208,308,472.516438,0.36782533
-126.240987,149,473.607744,0.34046173
-49.346048,196,475.047988,0.4473603
-43.795639,597,478.606207,0.07788276
-60.721456,1000,484.215014,0.29384917
-88.104256,246,485.501434,0.33529198
-88.626568,628,489.225427,4.0288916e-05
-25.565762,1000,494.590647,1.443521e-05
-38.299596,1000,497.798866,0.050289813
-174.986805,837,500.820297,0.055392068
-69.570238,302,501.563535,0.116349496
-82.655031,379,502.793568,1.5943851e-09
-39.785528,1000,505.962726,0.0033595606
164.404874,477,507.323195,0.0
-34.931193,212,507.973781,7.6332904e-09
-93.153975,594,509.867044,0.076503314
232.017732,646,512.269741,0.0
209.299478,488,513.635785,0.0
46.885059,1000,516.835928,2.5129518e-07
48.575357,957,519.979417,0.0
-40.741201,1000,523.16269,0.032871947
97.685315,544,525.026858,0.0
128.065276,476,526.38346,0.0
-64.508786,1000,529.586764,0.051241916
151.684951,726,532.068102,0.0
-84.024228,790,534.606818,0.00514954
-71.078973,1000,537.709859,0.02717774
72.421874,856,540.267873,0.0
-56.251168,1000,543.444924,0.014758993
7.022798,1000,546.548422,0.00012081059
-54.866849,1000,549.725,0.019849986
-41.441645,1000,555.4812,0.007883844
106.06747,1000,562.69451,0.010939984
-0.170494,1000,569.053776,0.005640725
-9.080588,1000,575.650039,0.018121911
-28.027017,1000,581.930321,0.025763903
